geo_join_id,neighborhood,data_value,message
404,Bayside - Little Neck,10.4,
203,Bedford Stuyvesant - Crown Heights,16.6,
209,Bensonhurst - Bay Ridge,52.7,
206,Borough Park,13.2,
208,Canarsie - Flatlands,90.8,
302,Central Harlem - Morningside Heights,64.3,
306,Chelsea - Clinton,52.8,
210,Coney Island - Sheepshead Bay,98.1,
105,Crotona -Tremont,14.5,
202,Downtown - Heights - Slope,49.4,
207,East Flatbush - Flatbush,44.9,
303,East Harlem,94.5,
204,East New York,59.6,
403,Flushing - Clearview,38.5,
103,Fordham - Bronx Pk,0,
406,Fresh Meadows,10.5,
307,Gramercy Park - Murray Hill,34.2,
201,Greenpoint,76.8,
308,Greenwich Village - SoHo,82.2,
106,High Bridge - Morrisania,38.7,
107,Hunts Point - Mott Haven,70.5,
408,Jamaica,61.6,
101,Kingsbridge - Riverdale,19,
401,Long Island City - Astoria,48.9,
310,Lower Manhattan,95,
102,Northeast Bronx,24.5,
104,Pelham - Throgs Neck,80.5,
501,Port Richmond,62,
405,Ridgewood - Forest Hills,5.5,
410,Rockaways,95.1,
504,South Beach - Tottenville,47.7,
409,Southeast Queens,34,
407,Southwest Queens,52.2,
502,Stapleton - St. George,25.9,
205,Sunset Park,33.5,
309,Union Square - Lower East Side,65.1,
305,Upper East Side,29.6,
304,Upper West Side,12.7,
301,Washington Heights,27.1,
402,West Queens,35.5,
211,Williamsburg - Bushwick,33,
503,Willowbrook,46.8,
